OMUX_S0,F4_B2
S2BEG0,F4_B2
Y0,F4_B2
N2MID1,F4_B2
E2MID1,F4_B2
N2MID6,F4_B3
E2MID7,F4_B3
E2MID6,F4_B3
W2MID7,F4_B3
OMUX_W14,F4_B3
Y3,F4_B3
S2END7,F4_B3
S2MID7,F4_B3
S2BEG6,F4_B3
E2BEG7,F4_B3
E2END7,F4_B3
OMUX13,F4_B3
OMUX_SW5,F4_B3
OMUX_S5,F4_B3
VCC_PINWIRE,F4_B3
OMUX_E13,F4_B3
N2MID7,F4_B3
W2BEG6,F4_B3
N2END7,F4_B3
X0,F4_B3
OMUX_ES7,F4_B3
S2MID6,F4_B3
W2END7,F4_B3
W2MID6,F4_B3
OMUX_N15,F4_B3
FX2,FX_S2
F50,FXINA0
F51,FXINA1
FX1,FXINA2
F52,FXINB0
F53,FXINB1
FX0,FXINB2
FX2,FXINB3
G1_B0,G1_B_PINWIRE0
G1_B1,G1_B_PINWIRE1
G1_B2,G1_B_PINWIRE2
G1_B3,G1_B_PINWIRE3
E2END7,G1_B0
E2MID6,G1_B0
S2END7,G1_B0
OMUX_W14,G1_B0
W2MID6,G1_B0
OMUX_S5,G1_B0
S2MID6,G1_B0
E2BEG7,G1_B0
X0,G1_B0
VCC_PINWIRE,G1_B0
E2MID7,G1_B0
N2MID7,G1_B0
S2BEG6,G1_B0
W2MID7,G1_B0
Y3,G1_B0
OMUX_ES7,G1_B0
W2BEG6,G1_B0
S2MID7,G1_B0
OMUX_N15,G1_B0
OMUX_E13,G1_B0
N2MID6,G1_B0
OMUX_SW5,G1_B0
N2END7,G1_B0
W2END7,G1_B0
OMUX13,G1_B0
E2MID1,G1_B1
OMUX2,G1_B1
Y0,G1_B1
N2END1,G1_B1
OMUX_S0,G1_B1
S2BEG0,G1_B1
S2MID1,G1_B1
VCC_PINWIRE,G1_B1
E2MID0,G1_B1
OMUX_N10,G1_B1
W2END1,G1_B1
S2MID0,G1_B1
E2END1,G1_B1
W2MID1,G1_B1
W2BEG0,G1_B1
OMUX_W1,G1_B1
OMUX_EN8,G1_B1
W2MID0,G1_B1
E2BEG0,G1_B1
X3,G1_B1
OMUX_E2,G1_B1
N2MID0,G1_B1
S2END1,G1_B1
OMUX_NW10,G1_B1
N2MID1,G1_B1
N2END6,G1_B2
OMUX_SW5,G1_B2
OMUX13,G1_B2
S2END6,G1_B2
W2END6,G1_B2
E2MID7,G1_B2
E2END6,G1_B2
S2MID6,G1_B2
E2BEG7,G1_B2
X0,G1_B2
W2MID7,G1_B2
W2MID6,G1_B2
W2BEG6,G1_B2
N2MID6,G1_B2
OMUX_S5,G1_B2
E2MID6,G1_B2
S2MID7,G1_B2
Y3,G1_B2
OMUX_N15,G1_B2
OMUX_W14,G1_B2
S2BEG6,G1_B2
VCC_PINWIRE,G1_B2
OMUX_E13,G1_B2
OMUX_ES7,G1_B2
N2MID7,G1_B2
OMUX_S0,G1_B3
X3,G1_B3
E2MID1,G1_B3
OMUX_N10,G1_B3
N2MID1,G1_B3
E2MID0,G1_B3
OMUX_NW10,G1_B3
E2END0,G1_B3
Y0,G1_B3
N2MID0,G1_B3
OMUX2,G1_B3
OMUX_E2,G1_B3
OMUX_W1,G1_B3
N2END0,G1_B3
E2BEG0,G1_B3
W2MID0,G1_B3
OMUX_EN8,G1_B3
W2BEG0,G1_B3
S2MID1,G1_B3
S2MID0,G1_B3
S2BEG0,G1_B3
S2END0,G1_B3
W2END0,G1_B3
W2MID1,G1_B3
VCC_PINWIRE,G1_B3
G2_B0,G2_B_PINWIRE0
G2_B1,G2_B_PINWIRE1
G2_B2,G2_B_PINWIRE2
G2_B3,G2_B_PINWIRE3
OMUX_W6,G2_B0
W2END3,G2_B0
OMUX6,G2_B0
OMUX_NE12,G2_B0
E2END3,G2_B0
W2MID3,G2_B0
VCC_PINWIRE,G2_B0
OMUX_E7,G2_B0
W2MID2,G2_B0
N2END3,G2_B0
X2,G2_B0
N2MID2,G2_B0
S2BEG2,G2_B0
E2BEG3,G2_B0
OMUX_N12,G2_B0
E2MID2,G2_B0
OMUX_WN14,G2_B0
S2MID3,G2_B0
S2END3,G2_B0
S2MID2,G2_B0
N2MID3,G2_B0
E2MID3,G2_B0
OMUX_S4,G2_B0
W2BEG2,G2_B0
Y1,G2_B0
VCC_PINWIRE,G2_B1
OMUX_E8,G2_B1
W2END5,G2_B1
W2MID4,G2_B1
N2MID5,G2_B1
E2MID4,G2_B1
OMUX_N11,G2_B1
OMUX_WS1,G2_B1
N2MID4,G2_B1
Y2,G2_B1
E2BEG5,G2_B1
N2END5,G2_B1
E2END5,G2_B1
OMUX_W9,G2_B1
S2MID4,G2_B1
S2END5,G2_B1
W2MID5,G2_B1
S2BEG4,G2_B1
E2MID5,G2_B1
OMUX9,G2_B1
X1,G2_B1
W2BEG4,G2_B1
OMUX_S3,G2_B1
OMUX_SE3,G2_B1
S2MID5,G2_B1
W2MID3,G2_B2
Y1,G2_B2
N2MID2,G2_B2
E2MID2,G2_B2
E2END2,G2_B2
W2END2,G2_B2
N2MID3,G2_B2
OMUX_E7,G2_B2
OMUX_N12,G2_B2
S2BEG2,G2_B2
N2END2,G2_B2
W2BEG2,G2_B2
VCC_PINWIRE,G2_B2
OMUX6,G2_B2
E2BEG3,G2_B2
OMUX_W6,G2_B2
